iter	Passed	Remaining
0	64	6358
1	64	3168
2	65	2110
3	65	1576
4	66	1260
5	66	1049
6	67	898
7	68	783
8	68	694
9	69	622
10	69	564
11	70	515
12	70	474
13	71	438
14	71	407
15	73	383
16	73	359
17	74	338
18	74	318
19	75	301
20	75	285
21	76	271
22	77	257
23	77	244
24	77	233
25	78	223
26	78	212
27	79	203
28	79	195
29	80	187
30	81	180
31	81	173
32	81	166
33	82	160
34	83	154
35	83	148
36	84	143
37	84	138
38	85	133
39	85	128
40	86	124
41	86	119
42	87	115
43	87	111
44	88	107
45	88	104
46	89	100
47	89	97
48	90	93
49	90	90
50	91	87
51	91	84
52	92	81
53	92	78
54	93	76
55	93	73
56	93	70
57	94	68
58	94	65
59	95	63
60	95	61
61	96	59
62	96	56
63	97	54
64	98	52
65	98	50
66	99	48
67	100	47
68	100	45
69	101	43
70	101	41
71	102	39
72	103	38
73	103	36
74	104	34
75	105	33
76	105	31
77	106	29
78	106	28
79	106	26
80	107	25
81	107	23
82	108	22
83	108	20
84	109	19
85	109	17
86	110	16
87	110	15
88	110	13
89	111	12
90	112	11
91	113	9
92	113	8
93	114	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	118	0
